RequestKey;LookupType;Query;Status;Ico;CompanyName;LegalForm;LegalFormCode;City;Address;IsActive;Candidates;Error;ResolvedUtc;Occurrences;SampleSubject;SampleFolder
spolecenstvi vlastniku bl 85;Name;Společenství vlastníků bl. 85;Pending;;;;;;;;;;;7;FW: Společenství vlastníků bl. 85, č.p. 2315, 2316, 2317, bl. 85-86, č.p. 2356, 2357,  bl. 86, č.p. 2300, 2301, 2302, bl. 86-87, č.p. 2351, 2352, ul. J.Skupy, bl. 87, č.p.  2318, 2319, 2320, ul. K. BieblFw: Posouzení možného financování společenství vlast;00043257 Stavební bytové družstvo Krušnohor
cs vedeny ucet na s r o;Name;ČS vedený účet na s.r.o.;Pending;;;;;;;;;;;1;Návrh smlouvy na zúžení SJM;09355308 Gastrobar Hradební s.r.o
kompitech s r o;Name;KompiTech s.r.o.;Pending;;;;;;;;;;;32;Fw: dotaz ke klientovi KompiTech s.r.o. IČ: 01510584;01510584 KompiTech s.r.o
rezidence nemesis s r o;Name;Rezidence Nemesis s.r.o.;Pending;;;;;;;;;;;2;Fw: Žádost o poskytnutí podkladů - Rezidence Nemesis;28281101 AZ - fruit, s.r.o
spolecenstvi vlastniku jednotek palackeho c p 4258;Name;Společenství vlastníků jednotek Palackého č.p. 4258;Pending;;;;;;;;;;;7;Re: Společenství vlastníků jednotek Palackého č.p. 4258, 4259, 4260, 4261, 4262 v Chomutově-Fw: Posouzení zápisu;Společenství vlastníků jednotek Palackého č.p. 4258
palazzo development s r o;Name;PALAZZO DEVELOPMENT s.r.o.;Pending;;;;;;;;;;;17;Fw: PALAZZO DEVELOPMENT s.r.o. 19430566  2064874533;19430566 PALAZZO DEVELOPMENT s.r.o
bodvail s r o;Name;BODVAIL s.r.o.;Pending;;;;;;;;;;;21;RE: BODVAIL s.r.o., IČ: 17902321, žádost č. 2074295386 ;17902321 BODVAIL s.r.o
profiref s r o;Name;Profiref s.r.o.;Pending;;;;;;;;;;;8;Re: Profiref s.r.o. IČO: 08836680;08836680 ProfiRef s.r.o
3d facility s r o;Name;3D Facility s.r.o.;Pending;;;;;;;;;;;1;Re: Váš komentář v SC ke schválení čerpání úvěru - 3D Facility s.r.o. - prosím pospíchá;09807276 3D Facility s.r.o
oddy solar s r o;Name;ODDY Solar s.r.o.;Pending;;;;;;;;;;;4;FW: ODDY Solar s.r.o. - návrh smlouvy o věcném břemeni;49444468 BIO-GEO-EKO, spol. s r.o
rezidence cejetice s r o;Name;Rezidence Čejetice s.r.o.;Pending;;;;;;;;;;;27;FW: Rezidence Čejetice s.r.o. IČ: 17555558 ID v CPS+ : 2070775771;17555558 Rezidence Čejetice s.r.o
splavek s r o;Name;Splávek s.r.o.;Pending;;;;;;;;;;;12;prosba o stanovisko Splávek s.r.o. 26690608 ID žádosti v CPS  2073849706;26690608 Splávek s.r.o
optima business brokers s r o;Name;Optima Business Brokers s.r.o.;Pending;;;;;;;;;;;1;Re: Optima Business Brokers s.r.o., IČ/RČ: 28428765, produkt:;28428765 Optima Business Brokers s.r.o
endeka reality s r o;Name;ENDEKA reality s.r.o.;Pending;;;;;;;;;;;18;ENDEKA reality s.r.o., IČ: 09264621;09264621 ENDEKA reality s.r.o
lekarsky dum holesovice s r o;Name;Lékařský dům Holešovice s.r.o.;Pending;;;;;;;;;;;4;FW: Lékařský dům Holešovice s.r.o. ičo: 26731878;26731878 Lékařský dům Holešovice s.r.o
cloudroom invest s r o;Name;CloudRoom Invest s.r.o.;Pending;;;;;;;;;;;3;Fw: CloudRoom Invest s.r.o. 11792795 ;11792795 CloudRoom Invest s.r.o
rebos development s r o;Name;REBOS Development s.r.o.;Pending;;;;;;;;;;;3;REBOS Development s.r.o., IČ 09667202;09667202 REBOS Development s.r.o
mk comfort servis s r o;Name;MK Comfort Servis s.r.o.;Pending;;;;;;;;;;;3;MK Comfort Servis s.r.o-Fw: nájemní smlouva Horažďovice;05794391 MK Comfort Servis s.r.o
neovia s r o;Name;Neovia s.r.o.;Pending;;;;;;;;;;;2;FW: Neovia s.r.o. - kontrola kupní smlouvy;27295567 GasNet, s.r.o
byty uhlirske janovice s r o;Name;Byty Uhlířské Janovice s.r.o.;Pending;;;;;;;;;;;7;Byty Uhlířské Janovice s.r.o. 07021054;07021054 Byty Uhlířské Janovice s.r.o
03475981;Ico;03475981;Pending;;;;;;;;;;;5;Re:  Společenství vlastníků jednotek domu Bulharská 33, 360 01 Karlovy Vary, ID 2054499484;03475981 Společenství vlastníků jednotek domu Bulharská 33
spolecenstvi vlastniku jednotek velka hradebni 17;Name;Společenství vlastníků jednotek Velká Hradební 17;Pending;;;;;;;;;;;2;Společenství vlastníků jednotek Velká Hradební 17, 18 a 19, Ústí nad Labem, IČ 25485784 - zápis;25485784 Společenství vlastníků V. Hradební 17, 18, 19
spolecenstvi vlastniku na vetrniku 1292;Name;Společenství vlastníků Na Větrníku 1292;Pending;;;;;;;;;;;7;FW: konzultace -  Společenství vlastníků Na Větrníku 1292, Chrudim, 17209226;17209226 Společenství vlastníků Na Větrníku 1292, Chrudim
26827174;Ico;26827174;Pending;;;;;;;;;;;2;Fw: Podepsaný KYC dotazník ;26827174 A.S
svj j kotase;Name;SVJ J. Kotase;Pending;;;;;;;;;;;7;FW: Společenství vlastníků Josefa Kotase 1171, 1172, 1173-Fw: Zápis ze schůze - SVJ J. Kotase , IČ: 07639554;07639554 Společenství vlastníků Josefa Kotase 1171, 1172, 1173
svj janskeho 2450;Name;SVJ Janského 2450;Pending;;;;;;;;;;;7;Fw: SVJ Janského 2450;00052159 Stavební bytové družstvo DRUBYD
spolecenstvi vlastniku pro dum druzstevni ochoz c p 1376 1382 ico 24165522;Name;Společenství vlastníků pro dům Družstevní ochoz č.p. 1376-1382 IČO 24165522;Pending;;;;;;;;;;;9;Zápis k revizi Společenství vlastníků pro dům Družstevní ochoz č.p. 1376-1382 IČO 24165522;24165522 Společenství vlastníků pro dům Družstevní ochoz č.p. 1376-1382
spolecenstvi vlastniku jednotek medkova 1311;Name;Společenství vlastníků jednotek Medkova 1311;Pending;;;;;;;;;;;5;RE: Společenství vlastníků jednotek Medkova 1311, 1312 a 1313, Hradec Králové-Fw: SVJ - schválení úvěru statutárním orgánem - zápis ;71228039 Společenství vlastníků jednotek Medkova 1311, 1312 a 1313, Hradec Králové
konzultace k plne moci mvd market s r o;Name;Konzultace k Plné moci MVD market s.r.o.;Pending;;;;;;;;;;;5;RE: Konzultace k Plné moci MVD market s.r.o. 05060737, žádost 2052313327;05060737 MVD market s.r.o
trojska lekarna s r o;Name;Trojská lékárna s.r.o.;Pending;;;;;;;;;;;25;Trojská lékárna s.r.o., IČ 07303335, INV 0627554189/0800;07303335 Trojská lékárna s.r.o
fepexa s r o;Name;FePEXA s.r.o.;Pending;;;;;;;;;;;7;FePEXA s.r.o., IČ 04639286;04639286 FePEXA s.r.o
jarja czech s r o;Name;JARJA Czech s.r.o.;Pending;;;;;;;;;;;2;Danuše Janečková-Fw: Kontrola souhlasu jediného společníka s firemním avalem za úvěr jiného subjektu;48008966 Danuše Janečková
pivovar matuska s r o;Name;Pivovar Matuška s.r.o.;Pending;;;;;;;;;;;7;Re: Pivovar Matuška Stav Kolaudace - výrobna +sklad;01718886 Pivovar Matuška s.r.o
bome s r o;Name;BOME s.r.o.;Pending;;;;;;;;;;;4;BOME s.r.o._IČ 47217201;47217201 BOME s.r.o
ppf banka a s;Name;PPF banka a.s.;Pending;;;;;;;;;;;2;Fw: kupní smlouva Holešov;28085400 EG.D Holding, a.s
spolecenstvi vlastniku brno;Name;Společenství vlastníků Brno;Pending;;;;;;;;;;;22;Re: Společenství vlastníků Brno, Mozolky 54,č.p. 2569-Fw: zápis ze shromáždění CLUID 9010-10-22-09.46.13.356298;Společenství vlastníků Brno
elen s property s r o;Name;Elen´s Property s.r.o.;Pending;;;;;;;;;;;2;Fw: Elen´s Property s.r.o., IČ 04337999 - dotaz na stanovisko banky k likvidaci společnosti;04337999 Elen´s Property s.r.o
27533328;Ico;27533328;Pending;;;;;;;;;;;2;PBH Richard Vítek, r.č. 8403110254;27533328 Česká EuV Commercial s.r.o
kabdent s r o;Name;Kabdent s.r.o.;Pending;;;;;;;;;;;11;Fw: Kabdent s.r.o., IČ 01925881;01925881 Kabdent s.r.o
v centru olomouce s r o;Name;V centru Olomouce s.r.o.;Pending;;;;;;;;;;;9;Fw: V centru Olomouce s.r.o. / IČ 22343814 / CPS ID 2076051622;22343814 V centru Olomouce s.r.o
hillmen s r o;Name;Hillmen s.r.o.;Pending;;;;;;;;;;;9;Fw: Zdeněk Motyčka - Hillmen s.r.o., IČ 08814902, ID 2044278058;08814902 Hillmen s.r.o
las casas doradas s r o;Name;Las Casas Doradas s.r.o.;Pending;;;;;;;;;;;3;Re: Las Casas Doradas s.r.o. IČ: 09738509_DOHODA o depozitní úschově_prosba/žádost o konzultaci;09738509 Las Casas Doradas s.r.o
kv rents s r o;Name;KV Rents s.r.o.;Pending;;;;;;;;;;;1;Re: ukončovací dokumentace KV Rents s.r.o. v likvidaci, IČO: 28447964;28447964 KV Rents s.r.o
stecho s r o;Name;ŠTĚCHO s.r.o.;Pending;;;;;;;;;;;7;ŠTĚCHO s.r.o. IČ: 26513552       Fw: Koupě Samoobsluhy;26513552 ŠTĚCHO s.r.o
dotaz utvar cerpani cerpani alergo imuno point s r o;Name;Dotaz útvar čerpání Čerpání ALERGO-IMUNO POINT s.r.o.;Pending;;;;;;;;;;;6;Re: Dotaz útvar čerpání Čerpání ALERGO-IMUNO POINT s.r.o. IČ:24239780;24239780 ALERGO-IMUNO POINT s.r.o
houm s r o;Name;HOUM s.r.o.;Pending;;;;;;;;;;;3;Re: Prohlášení vlastníka, společnost HOUM s.r.o., IČ : 48399698;48399698 HOUM s.r.o
smaragd gas s r o;Name;Smaragd GAS s.r.o.;Pending;;;;;;;;;;;6;Re: Smaragd GAS s.r.o., IČ 17292832;17292832 Smaragd GAS s.r.o
mountain development s r o;Name;Mountain Development s.r.o.;Pending;;;;;;;;;;;2;Fw: Mountain Development s.r.o. IČ 08782440;08782440 Mountain Development s.r.o
17292646;Ico;17292646;Pending;;;;;;;;;;;2;zrušení účtu;17292646 a.s
jedna se o klienta tolup s r o;Name;Jedná se o klienta TOLUP s.r.o.;Pending;;;;;;;;;;;7;Re: Kupní smlouva ku Miřetín - společnost TOLUP;28453107 TOLUP s.r.o
svj a polednika 06960979 plna moc sbd vitkovice;Name;SVJ A. poledníka 06960979  - plná moc  SBD Vítkovice;Pending;;;;;;;;;;;12;Re: NUTNÉ -  SVJ A. poledníka 06960979  - plná moc  SBD Vítkovice ;06960979 Společenství vlastníků Antonína Poledníka 24
svj lidicka 493;Name;SVJ Lidická 493;Pending;;;;;;;;;;;8;Fw: Úvěr SVJ Lidická 493, Varnsdorf, IČ 22364757;22364757 Společenství vlastníků jednotek pro dům č.p. 493, Lidická, Varnsdorf
zs u v2d holding s r o;Name;ZS u V2D holding s.r.o.;Pending;;;;;;;;;;;15;Re: změna ZS u V2D holding s.r.o.;29362164 V2D Holding s.r.o
spolecenstvi vlastniku jednotek mladych 216;Name;Společenství vlastníků jednotek Mladých 216;Pending;;;;;;;;;;;6;Fw: Automatická odpověď: posouzení zápisu Společenství vlastníků jednotek Mladých 216, Praha - Zličín IČ 24695335;24695335 Společenství vlastníků jednotek Mladých 216, Praha - Zličín
brixton gama s r o;Name;Brixton Gama s.r.o.;Pending;;;;;;;;;;;6;Re: Brixton Gama s.r.o., IČ 17105781;17105781 Brixton Gama s.r.o
h dent s r o;Name;H DENT s.r.o.;Pending;;;;;;;;;;;4;Re: V + H DENT s.r.o., IČ 28063074, žádost 2046063673, vyhotovení směnky;28063074 V + H DENT s.r.o. v likvidaci
provereni dokumentace votastav building s r o;Name;Prověření dokumentace VOTASTAV building s.r.o.;Pending;;;;;;;;;;;3;Re: Prověření dokumentace VOTASTAV building s.r.o. 04101090;04101090 VOTASTAV building s.r.o
24661015;Ico;24661015;Pending;;;;;;;;;;;3;Fw: Realizace odkoupení nemovitostí z konkurzní podstaty;24661015 a.s
metal woods dreams s r o;Name;Metal woods dreams s.r.o.;Pending;;;;;;;;;;;3;FW: Konzultace (Metal woods dreams s.r.o.);05732875 Holcr,s.r.o
v taxes s r o;Name;V Taxes s.r.o.;Pending;;;;;;;;;;;6;Fw: V & V Taxes s.r.o., IČ: 27948854 ;27948854 V & V Taxes s.r.o
abc vd trans s r o;Name;ABC VD Trans s.r.o.;Pending;;;;;;;;;;;8;Re: ABC VD Trans s.r.o., IČ: 09714731;09714731 ABC V.D. Trans s.r.o
development s r o;Name;Development s.r.o.;Pending;;;;;;;;;;;58;Re: Mercurius Pro Development s.r.o._Fw: zástavní smlouvy 123;51157471 Development s.r.o
22031740;Ico;22031740;Pending;;;;;;;;;;;3;Převod vlastnictví před ukončením dědického řízení;22031740
strakon medical s r o;Name;Strakon medical s.r.o.;Pending;;;;;;;;;;;2;Kontrola dokumentu zápisu valné hromady;11657758 Strakon medical s.r.o
posouzeni smluv klienta residence na farkane s r o;Name;Posouzení smluv klienta Residence Na Farkáně s.r.o.;Pending;;;;;;;;;;;6;Posouzení smluv klienta Residence Na Farkáně s.r.o.;Posouzení smluv klienta Residence Na Farkáně s.r.o
svj ve svahu;Name;SVJ Ve Svahu;Pending;;;;;;;;;;;1;Re: SVJ Ve Svahu, IČ: 06077650;06077650 Společenství vlastníků Ve Svahu 787 - 792, Karviná - Ráj
rdnaklic s r o;Name;RDNAKLIC s.r.o.;Pending;;;;;;;;;;;4;Re: žádost;24296155 RDNAKLIC s.r.o
stomatologie hanos s r o;Name;Stomatologie Hanos s.r.o.;Pending;;;;;;;;;;;8;Stomatologie Hanos s.r.o.-Fw: Platnost Plné moci pro podpis Smlouvy o zastavení nemovitosti CPS ID 2076459573;27184188 Stomatologie Hanos s.r.o
nesoulad us a zl industriale food s r o;Name;Nesoulad ÚS a ZL Industriale Food s.r.o.;Pending;;;;;;;;;;;5;Re: Nesoulad ÚS a ZL Industriale Food s.r.o. 01773046;01773046 Industriale food s.r.o
decval reality s r o;Name;DECVAL Reality s.r.o.;Pending;;;;;;;;;;;4;DECVAL Reality s.r.o.-Fw: Kontrola smluv;23267691 DECVAL Reality s.r.o
saitama s r o;Name;Saitama s.r.o.;Pending;;;;;;;;;;;8;Fw: Saitama s.r.o. IČO 14073641 - plná moc;14073641 Saitama s.r.o
altraz s r o;Name;Altraz s.r.o.;Pending;;;;;;;;;;;3;Altraz s.r.o., č.ú. KA1801471;25083325 Sberbank CZ, a.s. v likvidaci
pink invest s r o;Name;Pink Invest s.r.o.;Pending;;;;;;;;;;;1;Plná moc k podpisu jistotního účtu;11655798 Pink invest, s.r.o
banky company pmx s r o;Name;Banky Company PMX s.r.o.;Pending;;;;;;;;;;;2;Fw: Dotaz na realizaci zamýšlené transakce;25874128 R capital, a.s
palatinum investicni s r o;Name;Palatinum Investiční s.r.o.;Pending;;;;;;;;;;;25;Fw: IČ: 08232121, Palatinum Investiční s.r.o.;08232121 Palatinum Investiční, s.r.o
autoservis na rozcesti s r o;Name;AUTOSERVIS NA ROZCESTÍ s.r.o.;Pending;;;;;;;;;;;5;Fw: AUTOSERVIS NA ROZCESTÍ s.r.o. IČ 06483461 - uvěr č. 459844469 - Sberbank;06483461 AUTOSERVIS NA ROZCESTÍ s.r.o
invest s r o;Name;invest s.r.o.;Pending;;;;;;;;;;;12;Fw: NIK 97 invest s.r.o.;invest s.r.o
departmentapartment s r o;Name;DEPARTMENTAPARTMENT s.r.o.;Pending;;;;;;;;;;;13;FW: DEPARTMENTAPARTMENT s.r.o. 21013152;21013152 DEPARTMENTAPARTMENT s.r.o
identity group a s;Name;IDENTITY GROUP a.s.;Pending;;;;;;;;;;;11;Re: IDENTITY GROUP a.s., IČ 28212487;28212487 IDENTITY GROUP a.s
pm trans s r o;Name;PM trans s.r.o.;Pending;;;;;;;;;;;3;PM trans s.r.o. IČ 25384295;25384295 PM trans s.r.o
evb advokatni kancelar s r o;Name;EVB advokátní kancelář s.r.o.;Pending;;;;;;;;;;;5;Fw: Právní stanovisko k návrhu kupní smlouvy - vypořádání přes účet advokátní úschovy;26823683 EVB advokátní kancelář s.r.o
vlt pila s r o;Name;VLT PILA s.r.o.;Pending;;;;;;;;;;;32;Re: VLT PILA s.r.o. IČ 07220791- draft Potvrzení věřitele ke splnění podmínky čerpání;07220791 VLT PILA s.r.o
26005344;Ico;26005344;Pending;;;;;;;;;;;2;	 Společenství vlastníků jednotek domu čp. 101, 102, 103 Družstevní ulice, Pardubice-Fw: zápis ze shromáždění CLUID 9004-04-24-13.29.02.870482;26005344 Společenství vlastníků jednotek domu čp. 101
formaco tech s r o;Name;FORMACO TECH s.r.o.;Pending;;;;;;;;;;;4;Fw: FORMACO TECH s.r.o., 27667529;27667529 FORMACO TECH s.r.o
stavby rybniku s r o;Name;Stavby rybníků s.r.o.;Pending;;;;;;;;;;;3;Fw: Stavby rybníků s.r.o. 02951746 id žádosti : 2072337587 číslo účtu 3471417359;02951746 Stavby rybníků s.r.o
euro group moravia s r o;Name;Euro Group Moravia s.r.o.;Pending;;;;;;;;;;;8;Euro Group Moravia s.r.o. , IČ: 26810794;26810794 Euro Group Moravia s.r.o
posouzeni dokumentace ho de s r o;Name;Posouzení dokumentace HO&DE s.r.o.;Pending;;;;;;;;;;;5;FW: Posouzení dokumentace HO&DE  s.r.o.;05262925 HO&DE s.r.o
h s r o;Name;H s.r.o.;Pending;;;;;;;;;;;6;Fw: Sabla – H s.r.o.-Fw: Smlouva o zápůjčce;H s.r.o
pos solutions s r o;Name;POS Solutions s.r.o.;Pending;;;;;;;;;;;3;Fw: Úvěr v EUR - POS Solutions;01727044 POS Solutions s.r.o
spolecenstvi vlastniku nevzniklo;Name;společenství vlastníků nevzniklo.;Pending;;;;;;;;;;;1;Re: Hospodářské obchodní družstvo Jabloňov - Ruda-Fw: Obec Ruda - SOUHLAS ČS, pozemek HOD Jabloňov;00842567 Obec Ruda
svj druzstevni 101 103 ze dne 17 0 4 202 4 ko;Name;SVJ  DRUŽSTEVNÍ 101-103   ze  dne  17 . 0 4 . 202 4  ko;Pending;;;;;;;;;;;1;zápis ze shromáždění CLUID 9004-04-24-13.29.02.870482;26005344 SVJ DRUŽSTEVNÍ 101-103 ze dne 17 . 0 4 . 202 4 ko
svj karla iv pardubice ic 287 75 007 hlasovani;Name;SVJ Karla IV Pardubice IČ 287 75 007 - hlasování;Pending;;;;;;;;;;;10;Re: SVJ Karla IV Pardubice IČ 287 75 007 - hlasování;28775007 Společenství vlastníků jednotek čp. 43 45 Karla IV., Pardubice
plus s r o;Name;plus s.r.o.;Pending;;;;;;;;;;;9;Re: Dotaz na odštěpení společnosti.;28312767 K a P O - plus s.r.o
rezidence slivenec s r o;Name;Rezidence Slivenec s.r.o.;Pending;;;;;;;;;;;3;RE: Rezidence Slivenec s.r.o._IČ 08386030_Projektové financování;08386030 Rezidence Slivenec s.r.o
11122333;Ico;11122333;Pending;;;;;;;;;;;22;Re: vytvoření následné povinnosti - el. podpis poskytovatelů zajištění;11122333 a.s
tolup s r o;Name;TOLUP s.r.o.;Pending;;;;;;;;;;;1;Re: nákup pozemků;28453107 TOLUP s.r.o
zabalis s r o;Name;ZaBalis s.r.o.;Pending;;;;;;;;;;;2;Re: Objasnění informací : Bajer (ZaBalis s.r.o.) 09933123;09933123 ZaBaliss s.r.o
spolecenstvi vlastniku;Name;společenství vlastníků;Pending;;;;;;;;;;;2;Společenství vlastníků bl. 85, č.p. 2315, 2316, 2317, bl. 85-86, č.p. 2356, 2357,  bl. 86, č.p. 2300, 2301, 2302, bl. 86-87, č.p. 2351, 2352, ul. J.Skupy, bl. 87, č.p.  2318, 2319, 2320, ul. K. BieblFw: Posouzení možného financování společenství vlastníků;00043257 Stavební bytové družstvo Krušnohor
hellenia s r o;Name;HELLENIA s.r.o.;Pending;;;;;;;;;;;4;Fw: HELLENIA s.r.o. IČO 27410218;27410218 HELLENIA, s.r.o
sklady plus s r o;Name;SKLADY plus s.r.o.;Pending;;;;;;;;;;;4;Fw: SKLADY plus s.r.o., 27764346;27764346 SKLADY plus s.r.o
26105559;Ico;26105559;Pending;;;;;;;;;;;5;FW: Společenství vlastníků jednotek Puklicova 1009/20-Fw: SVJ Puklicova 1009/20, IČ 26105559;26105559 SVJ Puklicova 1009-20
svj puklicova 1009 20;Name;SVJ Puklicova 1009/20;Pending;;;;;;;;;;;5;FW: Společenství vlastníků jednotek Puklicova 1009/20-Fw: SVJ Puklicova 1009/20, IČ 26105559;26105559 SVJ Puklicova 1009-20
horizon propety s r o;Name;HORIZON PROPETY s.r.o.;Pending;;;;;;;;;;;6;HORIZON PROPETY s.r.o., IČ 19750226;19750226 HORIZON PROPERTY s.r.o
spolecenstvi vlastniku horni 191 ico 14055074 upresneni;Name;Společenství vlastníků Horní 191 IČO: 14055074 - upřesnění;Pending;;;;;;;;;;;10;Re: Společenství vlastníků Horní 191 IČO: 14055074 - upřesnění;14055074 Společenství vlastníků Horní 191
tak properties s r o;Name;TAK Properties s.r.o.;Pending;;;;;;;;;;;11;FW: Residence Staropramenná - zápůjčky;08671567 TAK Properties s.r.o
energodomy ateliery s r o;Name;Energodomy Ateliery s.r.o.;Pending;;;;;;;;;;;7;Re: Energodomy Ateliery s.r.o.;08480036 KOHAJDA & PARTNER, advokátní kancelář s.r.o
moravia automation s r o;Name;Moravia Automation s.r.o.;Pending;;;;;;;;;;;4;RE: 2054465302 _ Moravia Automation  / Útěchov_kupní smlouva_návrh_kom_11_03;08976848 Moravia Automation s.r.o
molik reality s r o;Name;Molík reality s.r.o.;Pending;;;;;;;;;;;2;Žádost o kontrolu  návrhu smluvFw: Návrhy KS + Smlouvy o advokátní úschově peněz  - RD K Loučkám čp. 1353, Litvínov   (P.Kučera x J.Kotelenský);44544103 Jan Kotelenský
16228821;Ico;16228821;Pending;;;;;;;;;;;3;Re: Matuška-Fw: Převod účtu v rámci sdružení;16228821 Česká spořitelna a.s
svj bd vice statutarni pouze pro uverovou sml;Name;SVJ +BD  ( více-statutární ) – pouze pro  ÚVĚROVOU SML;Pending;;;;;;;;;;;2;Re: textace pro elektronický podpis zástavních smluv PBHYPO;SVJ +BD ( více-statutární ) – pouze pro ÚVĚROVOU SML
vas s r o;Name;Vás s.r.o.;Pending;;;;;;;;;;;11;Fajn bydlení pro Vás s.r.o. ičo: 14159236 - projektové financování výstavba;14159236 Fajn bydlení pro Vás s.r.o
energo haus invest s r o;Name;ENERGO Haus invest s.r.o.;Pending;;;;;;;;;;;4;Fw: ENERGO Haus invest s.r.o., IČ: 04678281;04678281 EH invest s.r.o
white agency s r o;Name;white agency s.r.o.;Pending;;;;;;;;;;;11;RE: Black & white agency s.r.o. IC:17130131;17130131 Black & white agency s.r.o
spolecenstvi vlastniku praha zahradecka 371 372 fw citace zapisu clenske schuze;Name;Společenství vlastníků Praha Zahrádecká 371-372-Fw: Citace zápisu členské schůze;Pending;;;;;;;;;;;2;FW: Společenství vlastníků Praha Zahrádecká 371-372-Fw: Citace zápisu členské schůze Spol. vl. Zahrádecká 371-372, ič08729476 Revitalizace objektu;08729476 Společenství vlastníků Praha Zahrádecká 371-372
panek group europe s r o;Name;Panek Group Europe s.r.o.;Pending;;;;;;;;;;;1;Fw: SC0000000017082054 Žádost o součinnost na vyřízení klientské stížnosti;01572822 Panek Group Europe s.r.o
havel real estate s r o;Name;HAVEL REAL ESTATE s.r.o.;Pending;;;;;;;;;;;23;HAVEL REAL ESTATE s.r.o.   IČO 28863038;28863038 HAVEL REAL ESTATE, s.r.o
wpone plzen s r o;Name;WPONE PLZEŇ s.r.o.;Pending;;;;;;;;;;;4;WPONE PLZEŇ s.r.o. , 11813784 právo stavby, nájem;11813784 WPONE PLZEŇ s.r.o
prespon s r o;Name;Prespon s.r.o.;Pending;;;;;;;;;;;5;Fw: Klient Prespon s.r.o., IČ 04762088;04762088 Prespon s.r.o
neratof s r o;Name;NERATOF s.r.o.;Pending;;;;;;;;;;;6;Re: Změna sazby NERATOF;08337098 NERATOF s.r.o
amifox finance s r o;Name;Amifox finance s.r.o.;Pending;;;;;;;;;;;3;Re: Amifox finance s.r.o., CPS 2064783123;28649133 Amifox finance s.r.o
megakris s r o;Name;Megakris s.r.o.;Pending;;;;;;;;;;;11;Re: Megakris s.r.o. -Fw: Prosba o vyhotovení notářského zápisu pro pana Bibena;08780226 MEGAKRIS s.r.o
svj spolecne s vop pokud neni v zajisteni smenka;Name;SVJ ( společně s VOP) pokud není v zajištění směnka;Pending;;;;;;;;;;;10;Re: vytvoření následné povinnosti - el. podpis poskytovatelů zajištění;11122333 SVJ ( společně s VOP) pokud není v zajištění směnka
ucty u vyse uvedenych s r o;Name;Účty u výše uvedených s.r.o.;Pending;;;;;;;;;;;2;Dotaz k povinnosti k dodatečnému zveřejňování v Registru smluv;25105299 Víceúčelová sportovní hala Slaný spol. s r.o
